day	n	ybar
0	5	10.2
3	5	10.4
7	5	10.6
13	6	12.5
18	5	12
24	4	15
25	6	15.17
32	5	17
38	7	18.71
42	9	19.22
44	10	20
49	19	20.32
52	14	22.07
55	11	22.64
58	9	22.78
61	14	23.93
69	10	25.5
73	12	25.08
76	9	26.67
88	7	28
100	10	31.67
106	7	32.14
0	5	10
6	5	11
9	5	10
19	11	13.36
27	7	14.29
30	8	14.5
32	8	15.38
34	5	16.6
36	6	15.5
38	7	16.86
40	4	17.5
42	3	17.33
44	8	18
48	22	18.46
50	7	17.71
55	24	19.42
58	15	20.6
61	12	21
64	15	22.33
67	10	22.2
75	14	23.86
79	12	24.42
82	19	24.79
85	5	25
88	27	26.04
91	5	26.6
94	16	27.12
97	12	26.83
100	10	28.7
106	15	29.33
